Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,district,area_comfort
110000.0,1.0,1930.0,19.0,25.0,2008.0,57.0,37.0,14.0,Голосіївська,Голосіївський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
152000.0,2.0,1667.0,24.0,25.0,2008.0,69.0,41.0,14.0,Голосіївська,Голосіївський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
225000.0,3.0,2022.0,11.0,25.0,2008.0,69.0,37.0,14.0,Голосіївська,Голосіївський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
100000.0,1.0,1667.0,13.0,25.0,2008.0,60.0,21.0,17.0,Голосіївська,Голосіївський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
47000.0,1.0,1146.0,5.0,16.0,1990.0,41.0,10.0,16.0,Тираспольська,Подільський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
60000.0,1.0,1277.0,5.0,16.0,2009.0,47.0,22.0,14.0,Тираспольська,Подільський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
45000.0,1.0,1214.9,5.0,16.0,1990.0,69.0,37.0,14.0,Тираспольська,Подільський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
90000.0,2.0,2195.0,1.0,9.0,2009.0,41.0,28.0,6.0,Лаврська,Печерський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
44980.0,1.0,1249.0,19.0,25.0,2017.0,36.0,16.0,14.0,Правди,Подільський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
67000.0,2.0,971.0,3.0,26.0,2021.0,69.0,25.0,21.0,Правди,Подільський,"<bound method Series.clip of 0      10.0
1      13.0
2      22.0
3      11.0
4     -10.0
       ... 
371     0.0
372     9.0
373     8.0
374    18.0
375    10.0
Length: 376, dtype: float64>"
